地域	空港（ラウンジ設置先）	URL
アフリカ	アガディール・アル・マシーラ国際空港(Agadir Al Massira Intl)	https://www.prioritypass.com/ja/lounges/morocco/agadir-al-massira-intl
アフリカ	アクラ・コトカ国際空港(Accra Kotoka International)	https://www.prioritypass.com/ja/lounges/ghana/accra-kotoka-international
アフリカ	アサバ国際空港(Asaba International)	https://www.prioritypass.com/ja/lounges/nigeria/asaba-international
アフリカ	アスワン国際空港(Aswan Intl)	https://www.prioritypass.com/ja/lounges/egypt/aswan-intl
アフリカ	アディスアベバ・ボレ国際空港(Addis Ababa Bole International)	https://www.prioritypass.com/ja/lounges/ethiopia/addis-ababa-bole-international
アフリカ	アブジャ・ンナムディ・アジキウェ国際空港(Abuja Nnamdi Azikiwe Intl)	https://www.prioritypass.com/ja/lounges/nigeria/abuja-nnamdi-azikiwe-intl
アフリカ	アレクサンドリア ボルグ・エル・アラブ国際空港(Alexandria Borg El Arab Intl)	https://www.prioritypass.com/ja/lounges/egypt/alexandria-borg-el-arab-intl
アフリカ	アンタナナリボ イヴァト国際空港(Antananarivo Ivato International)	https://www.prioritypass.com/ja/lounges/madagascar/antananarivo-ivato-international
アフリカ	イーストロンドン(East London)	https://www.prioritypass.com/ja/lounges/south-africa/east-london-airport
アフリカ	ヴィクトリアフォールズ国際空港(Victoria Falls Intl)	https://www.prioritypass.com/ja/lounges/zimbabwe/victoria-falls-intl
アフリカ	ウィンドフック・ホセア・クタコ国際空港(Windhoek Hosea Kutako Intl)	https://www.prioritypass.com/ja/lounges/namibia/windhoek-intl
アフリカ	ウジダ・アンガデス空港(Oujda Angads)	https://www.prioritypass.com/ja/lounges/morocco/oujda-angads
アフリカ	エンテベ国際空港(Entebbe International)	https://www.prioritypass.com/ja/lounges/uganda/entebbe-international
アフリカ	エンフィダ＝ハンマメット国際空港(Enfidha Hammamet International)	https://www.prioritypass.com/ja/lounges/tunisia/enfidha-hammamet-international
アフリカ	カイロ国際空港(Cairo International)	https://www.prioritypass.com/ja/lounges/egypt/cairo-international
アフリカ	カサネ (Kasane)	https://www.prioritypass.com/ja/lounges/botswana/kasane-airport
アフリカ	カサブランカ・ムハンマド5世国際空港(Casablanca Mohammed V Intl)	https://www.prioritypass.com/ja/lounges/morocco/casablanca-mohammed-v-intl
アフリカ	カノ・マラム・アミヌ・カノ国際空港(Kano Mallam Aminu Kano Intl)	https://www.prioritypass.com/ja/lounges/nigeria/kano-mallam-aminu-kano-intl
アフリカ	キガリ国際空港(Kigali International)	https://www.prioritypass.com/ja/lounges/rwanda/kigali-international
アフリカ	ギザ・スフィンクス国際空港(Giza Sphinx International)	https://www.prioritypass.com/ja/lounges/egypt/giza-sphinx-international
アフリカ	キリマンジャロ国際空港(Kilimanjaro International)	https://www.prioritypass.com/ja/lounges/tanzania/kilimanjaro-international
アフリカ	クルーガー・ムプマランガ国際空港(Kruger Mpumalanga Intl)	https://www.prioritypass.com/ja/lounges/south-africa/kruger-mpumalanga-intl
アフリカ	ケープタウン国際空港(Cape Town International)	https://www.prioritypass.com/ja/lounges/south-africa/cape-town-international
アフリカ	コトヌー・カジェフォウン空港(Cotonou Cadjehoun Intl)	https://www.prioritypass.com/ja/lounges/benin/cotonou-cadjehoun-intl
アフリカ	コナクリ・ベシア国際空港(Conakry Gbessia International)	https://www.prioritypass.com/ja/lounges/republic-of-guinea/conakry-gbessia-international
